ds,SKU,SKU_Desc,y,Rev,Cost,Base
2020-01-31,58122108,"58122108 - Charcuterie Chorizo, Cold Smoked Fresh TRSM",93.85,1471.5525,1024.842,1376.6375
2020-01-31,58122113,58122113 - Charcuterie Coppa Fresh TRSM,55.42,877.8406,643.4262,849.9161
2020-01-31,58122135,58122135 - Charcuterie Beef Bresaola Fresh TRSM,133.73,3757.5399,2778.9094,3711.1195
2020-01-31,58122137,"58122137 - Charcuterie Pepperbites, Cold Smoked Fresh TRSM",137.24,1985.93,1276.3319999999999,1705.9448
2020-01-31,58122140,"58122140 - Charcuterie Spicy Pork Pepperoni, Cold Smoked Fresh TRSM",146.57999999999998,1964.7679,1426.2234,1850.6651
2020-01-31,58122147,58122147 - Charcuterie Elk Goteborg Salami Fresh TRSM,58.0,1288.8375,949.46,1251.4582
2020-01-31,58122148,58122148 - Charcuterie Sour Tuscan Salami Fresh TRSM,62.08,1116.6462999999999,784.0704000000001,1032.3054
2020-01-31,58122154,58122154 - Charcuterie Soria Chorizo Salami Fresh TRSM,201.79000000000002,3637.0438,2597.0373,3471.4817000000003
2020-01-31,58122162,58122162 - Charcuterie Guanciale S-OFF Fresh TRSM,146.64,1428.03,1026.48,1371.2064
2020-01-31,58122166,58122166 - Charcuterie Bison and Herb Salami Fresh TRSM,103.05,2434.1955,1838.412,2418.6516
2020-01-31,58122177,58122177 - Charcuterie Pancetta Flat Fresh TRSM,245.07999999999998,2863.3258,2200.8184,2922.658
2020-01-31,58122195,58122195 - Charcuterie Pork Pizza Pepperoni Hot Smoked Fresh TRSM,287.235,3977.2057,2918.3076,3935.1148
2020-01-31,58122213,58122213 - Charcuterie Fennel Sticks Cold Smoked Fresh TRSM,144.8,2306.5138,1721.672,2237.7064
2020-01-31,58122225,58122225 - Charcuterie Beer Sticks Cold Smoked Fresh TRSM,102.62,1336.9511,978.9947999999999,1225.1166
2020-01-31,58122239,58122239 - Charcuterie Lonzino Fresh TRSM,102.86,1580.2175,1033.743,1366.7283
2020-01-31,58122249,58122249 - Charcuterie Beef Summer Salami Fresh TRSM,56.34,821.0550000000001,591.57,772.9708
2020-01-31,58122256,58122256 - Charcuterie Hot Smoked Pep Fresh TRSM,111.33,1138.695,791.5563,1037.6309999999999
2020-01-31,58122287,58122287 - Charcuterie Beef & Bison Pepper Sticks Cold Smoked Fresh TRSM,87.7,2022.8836,1586.493,2019.3437999999999
2020-02-29,58122108,"58122108 - Charcuterie Chorizo, Cold Smoked Fresh TRSM",101.32000000000001,1592.8179,1106.4144,1481.9094
2020-02-29,58122113,58122113 - Charcuterie Coppa Fresh TRSM,36.8,611.625,427.248,571.504
2020-02-29,58122120,"58122120 - Charcuterie Duck Prosciutto, Cold Smoked Fresh TRSM",63.2,1526.2896,1174.256,1482.6991
2020-02-29,58122135,58122135 - Charcuterie Beef Bresaola Fresh TRSM,54.65,1523.0383,1135.627,1499.2342
2020-02-29,58122137,"58122137 - Charcuterie Pepperbites, Cold Smoked Fresh TRSM",96.82000000000001,1408.9850000000001,900.4259999999999,1202.6872
2020-02-29,58122140,"58122140 - Charcuterie Spicy Pork Pepperoni, Cold Smoked Fresh TRSM",148.0,2024.9058,1440.04,1886.6683
2020-02-29,58122147,58122147 - Charcuterie Elk Goteborg Salami Fresh TRSM,61.54,1321.4613,1007.4098,1312.6276
2020-02-29,58122148,58122148 - Charcuterie Sour Tuscan Salami Fresh TRSM,69.99,1252.71,883.9737,1164.4898
2020-02-29,58122154,58122154 - Charcuterie Soria Chorizo Salami Fresh TRSM,144.99,2627.4034,1866.0213,2485.8816
2020-02-29,58122162,58122162 - Charcuterie Guanciale S-OFF Fresh TRSM,106.19,1040.9928,743.33,989.1987
2020-02-29,58122166,58122166 - Charcuterie Bison and Herb Salami Fresh TRSM,77.97,1852.7259999999999,1390.9848,1817.4452
2020-02-29,58122177,58122177 - Charcuterie Pancetta Flat Fresh TRSM,95.11999999999999,1120.533,854.1776,1145.1036
2020-02-29,58122195,58122195 - Charcuterie Pork Pizza Pepperoni Hot Smoked Fresh TRSM,310.32,4349.0689,3152.8512,4249.0576
2020-02-29,58122213,58122213 - Charcuterie Fennel Sticks Cold Smoked Fresh TRSM,89.22,1443.1237,1060.8258,1405.425
2020-02-29,58122225,58122225 - Charcuterie Beer Sticks Cold Smoked Fresh TRSM,104.5,1408.4145,996.9300000000001,1282.7919
2020-02-29,58122239,58122239 - Charcuterie Lonzino Fresh TRSM,102.07,1567.087,1025.8035,1356.2071
2020-02-29,58122249,58122249 - Charcuterie Beef Summer Salami Fresh TRSM,86.56,1240.9259,908.88,1181.6336000000001
2020-02-29,58122256,58122256 - Charcuterie Hot Smoked Pep Fresh TRSM,90.95,913.5976,646.6545,835.6876
2020-02-29,58122287,58122287 - Charcuterie Beef & Bison Pepper Sticks Cold Smoked Fresh TRSM,106.76,2430.2099,1931.2884,2424.3456
2020-03-31,58122108,"58122108 - Charcuterie Chorizo, Cold Smoked Fresh TRSM",67.0,1060.6025,731.64,982.1705
2020-03-31,58122120,"58122120 - Charcuterie Duck Prosciutto, Cold Smoked Fresh TRSM",58.69,1402.4356,1090.4602,1382.4381
2020-03-31,58122135,58122135 - Charcuterie Beef Bresaola Fresh TRSM,21.75,588.9000000000001,451.96500000000003,605.9005
2020-03-31,58122137,"58122137 - Charcuterie Pepperbites, Cold Smoked Fresh TRSM",157.0,2289.015,1460.1,1953.3880000000001
2020-03-31,58122140,"58122140 - Charcuterie Spicy Pork Pepperoni, Cold Smoked Fresh TRSM",151.16,2031.6622,1470.7868,1904.2015999999999
2020-03-31,58122147,58122147 - Charcuterie Elk Goteborg Salami Fresh TRSM,61.91,1312.0933,1013.4667000000001,1288.8953000000001
2020-03-31,58122148,58122148 - Charcuterie Sour Tuscan Salami Fresh TRSM,38.64,695.299,488.0232,634.9365
2020-03-31,58122154,58122154 - Charcuterie Soria Chorizo Salami Fresh TRSM,25.48,466.015,327.9276,442.58759999999995
2020-03-31,58122162,58122162 - Charcuterie Guanciale S-OFF Fresh TRSM,42.99,415.805,300.93,401.9565
2020-03-31,58122166,58122166 - Charcuterie Bison and Herb Salami Fresh TRSM,74.38,1718.8399000000002,1326.9392,1702.7796
2020-03-31,58122177,58122177 - Charcuterie Pancetta Flat Fresh TRSM,94.47,1111.3303,848.3406,1115.1726
2020-03-31,58122195,58122195 - Charcuterie Pork Pizza Pepperoni Hot Smoked Fresh TRSM,216.3,3012.1745,2197.608,2959.124
2020-03-31,58122213,58122213 - Charcuterie Fennel Sticks Cold Smoked Fresh TRSM,135.03,2120.4385,1605.5067,2082.6468
2020-03-31,58122225,58122225 - Charcuterie Beer Sticks Cold Smoked Fresh TRSM,83.69,1146.9684,798.4026,1028.4623
2020-03-31,58122239,58122239 - Charcuterie Lonzino Fresh TRSM,55.11,819.9091,553.8555,728.3055
2020-03-31,58122249,58122249 - Charcuterie Beef Summer Salami Fresh TRSM,62.8,832.4068,659.4,812.644
2020-03-31,58122256,58122256 - Charcuterie Hot Smoked Pep Fresh TRSM,82.23,805.1906,584.6553,738.2606
2020-03-31,58122287,58122287 - Charcuterie Beef & Bison Pepper Sticks Cold Smoked Fresh TRSM,109.57,2527.7241,1982.1213,2519.7687
2020-04-30,58122108,"58122108 - Charcuterie Chorizo, Cold Smoked Fresh TRSM",59.2,926.03,646.4639999999999,869.3225
2020-04-30,58122113,58122113 - Charcuterie Coppa Fresh TRSM,46.79,736.0589,543.2319,692.8315
2020-04-30,58122120,"58122120 - Charcuterie Duck Prosciutto, Cold Smoked Fresh TRSM",20.69,482.52230000000003,384.42019999999997,471.56379999999996
2020-04-30,58122135,58122135 - Charcuterie Beef Bresaola Fresh TRSM,13.42,369.13,278.86760000000004,372.405
2020-04-30,58122137,"58122137 - Charcuterie Pepperbites, Cold Smoked Fresh TRSM",72.45,1093.57,673.785,902.0988
2020-04-30,58122140,"58122140 - Charcuterie Spicy Pork Pepperoni, Cold Smoked Fresh TRSM",130.25,1670.205,1267.3325,1612.5815
2020-04-30,58122147,58122147 - Charcuterie Elk Goteborg Salami Fresh TRSM,14.73,322.86289999999997,241.1301,320.37030000000004
2020-04-30,58122148,58122148 - Charcuterie Sour Tuscan Salami Fresh TRSM,13.55,236.59019999999998,171.1365,225.58620000000002
2020-04-30,58122154,58122154 - Charcuterie Soria Chorizo Salami Fresh TRSM,16.04,246.3743,206.4348,238.4443
2020-04-30,58122166,58122166 - Charcuterie Bison and Herb Salami Fresh TRSM,52.65,1226.2249,939.2760000000001,1218.5292
2020-04-30,58122177,58122177 - Charcuterie Pancetta Flat Fresh TRSM,134.29,1552.3084,1205.9242,1567.5276
2020-04-30,58122195,58122195 - Charcuterie Pork Pizza Pepperoni Hot Smoked Fresh TRSM,79.46000000000001,1076.1319,807.3136,1064.0038
2020-04-30,58122213,58122213 - Charcuterie Fennel Sticks Cold Smoked Fresh TRSM,37.94,567.1718,451.10659999999996,553.7646
2020-04-30,58122225,58122225 - Charcuterie Beer Sticks Cold Smoked Fresh TRSM,26.849999999999998,327.2149,256.149,306.1929
2020-04-30,58122239,58122239 - Charcuterie Lonzino Fresh TRSM,7.72,93.1155,77.586,86.3295
2020-04-30,58122249,58122249 - Charcuterie Beef Summer Salami Fresh TRSM,34.7,474.6115,364.35,454.8614
2020-04-30,58122256,58122256 - Charcuterie Hot Smoked Pep Fresh TRSM,36.16,258.663,257.0976,271.103
2020-04-30,58122287,58122287 - Charcuterie Beef & Bison Pepper Sticks Cold Smoked Fresh TRSM,84.55,1930.4183,1529.5095,1927.6077
2020-04-30,58122295,58122295 - Charcuterie Triple Fennel & Ale Salami Fresh TRSM,1.4,25.9,18.844,25.13
2020-05-31,58122108,"58122108 - Charcuterie Chorizo, Cold Smoked Fresh TRSM",78.84,1244.04,860.9328,1158.4560000000001
2020-05-31,58122113,58122113 - Charcuterie Coppa Fresh TRSM,34.55,556.2792,401.1255,516.0342
