Rep,CustomerName,SageId,RegionName,ShippingMethodRequested,DateExpected,OrderId,OrderLineId,SKU,Supplier,Protein,PackDetails,QuantityOrdered,OrderUOM,ShippedItems,ShippedLb,Price,BillingUOM,Rev,Cost,Base,ProfitMargin,Description,SKU_Desc
House House,Natures Fare Kamloops,NATU02,Int Kamloops,Clark - Ground,2023-01-04,354712.0,1361758.0,58122299,TRSM,Charcuterie,"2.65lb/cs, 150g/pk, 1pc/pk, 8pk/cs",1.0,Case,1.0,3.02,59.75,Each,59.75,35.65,57.55,0.40334728033472805,"Charcuterie Salami, Milano Fresh TRSM (Retail Case)","58122299 - Charcuterie Salami, Milano Fresh TRSM (Retail Case)"
House House,Natures Fare Kamloops,NATU02,Int Kamloops,Clark - Ground,2023-01-04,354712.0,1361759.0,58122302,TRSM,Charcuterie,"2.65lb/cs, 150g/pk, 1pc/pk, 8pk/cs",1.0,Case,1.0,3.05,59.75,Each,59.75,30.46,57.55,0.49020920502092047,"Charcuterie Salami, Chorizo, Cold Smoked Fresh TRSM (Retail Case)","58122302 - Charcuterie Salami, Chorizo, Cold Smoked Fresh TRSM (Retail Case)"
Gian Linuzzi,Doorway Drop,DOOR01,Victoria,Clark - Ground,2023-01-04,355063.0,1363074.0,58122302,TRSM,Charcuterie,"2.65lb/cs, 150g/pk, 1pc/pk, 8pk/cs",1.0,Case,1.0,2.96,58.8,Each,58.8,30.46,58.13,0.4819727891156462,"Charcuterie Salami, Chorizo, Cold Smoked Fresh TRSM (Retail Case)","58122302 - Charcuterie Salami, Chorizo, Cold Smoked Fresh TRSM (Retail Case)"
Fraser Mittlestead,The Westin Bayshore,WEST16,Vancouver W,TRSM Delivery - Ground,2023-01-04,355108.0,1363384.0,58122166,TRSM,Charcuterie,~2lbs/pc,12.0,Pack,12.0,20.6,24.0,Pound,494.4,368.946,492.134,0.2537499999999999,Charcuterie Bison and Herb Salami Fresh TRSM,58122166 - Charcuterie Bison and Herb Salami Fresh TRSM
Jesse Croy,Northern Escape Heliski,NORT08,Int Terrace,Clark - Ground,2023-01-03,354813.0,1362428.0,58122113,TRSM,Charcuterie,~1.5 - 2.5 Lbs,4.0,Each,4.0,8.1,17.0,Pound,137.7,94.608,127.575,0.31294117647058817,Charcuterie Coppa Fresh TRSM,58122113 - Charcuterie Coppa Fresh TRSM
Jesse Croy,Northern Escape Heliski,NORT08,Int Terrace,Clark - Ground,2023-01-03,354813.0,1362453.0,58122135,TRSM,Charcuterie,~1lb,4.0,Each,4.0,5.34,28.15,Pound,150.321,111.339,150.1608,0.25932504440497334,Charcuterie Beef Bresaola Fresh TRSM,58122135 - Charcuterie Beef Bresaola Fresh TRSM
Jesse Croy,Northern Escape Heliski,NORT08,Int Terrace,Clark - Ground,2023-01-03,354813.0,1362454.0,58122108,TRSM,Charcuterie,~2.7 Lbs Pck/8 pc,4.0,Pack,4.0,11.45,16.5,Pound,188.925,125.8355,169.918,0.333939393939394,"Charcuterie Chorizo, Cold Smoked Fresh TRSM","58122108 - Charcuterie Chorizo, Cold Smoked Fresh TRSM"
Jesse Croy,Northern Escape Heliski,NORT08,Int Terrace,Clark - Ground,2023-01-03,354813.0,1362455.0,58122147,TRSM,Charcuterie,~2 Lbs,4.0,Each,4.0,7.84,22.2,Pound,174.048,128.8896,173.7344,0.2594594594594595,Charcuterie Elk Goteborg Salami Fresh TRSM,58122147 - Charcuterie Elk Goteborg Salami Fresh TRSM
Jesse Croy,Northern Escape Heliski,NORT08,Int Terrace,Clark - Ground,2023-01-03,354813.0,1362456.0,58122256,TRSM,Charcuterie,"~2lbs, 14 pc/pck",8.0,Pack,8.0,17.74,11.0,Pound,195.14,127.3732,171.9006,0.34727272727272723,Charcuterie Hot Smoked Pep Fresh TRSM,58122256 - Charcuterie Hot Smoked Pep Fresh TRSM
House House,SPUD TRAPP,SPUD01,Burnaby,TRSM Delivery - Ground,2023-01-03,354820.0,1362170.0,58122302,TRSM,Charcuterie,"2.65lb/cs, 150g/pk, 1pc/pk, 8pk/cs",1.0,Case,1.0,3.08,58.35,Each,58.35,30.46,57.55,0.4779777206512425,"Charcuterie Salami, Chorizo, Cold Smoked Fresh TRSM (Retail Case)","58122302 - Charcuterie Salami, Chorizo, Cold Smoked Fresh TRSM (Retail Case)"
Fraser Mittlestead,Parq Victor,PARQ03,Vancouver W,TRSM Delivery - Ground,2023-01-03,354972.0,1362725.0,58122135,TRSM,Charcuterie,~1lb,3.0,Pound,4.0,3.43,29.5,Pound,101.185,71.5155,95.4912,0.29322033898305083,Charcuterie Beef Bresaola Fresh TRSM,58122135 - Charcuterie Beef Bresaola Fresh TRSM
Fraser Mittlestead,Puccini's Deli,PUCC01,Vancouver NS,TRSM Delivery - Ground,2023-01-03,354896.0,1362783.0,58122301,TRSM,Charcuterie,"2.65lb/cs, 150g/pk, 1pc/pk, 8pk/cs",1.0,Case,1.0,3.04,57.55,Each,57.55,30.27,57.55,0.4740225890529974,"Charcuterie Salami, Tuscan Fresh TRSM (Retail Case)","58122301 - Charcuterie Salami, Tuscan Fresh TRSM (Retail Case)"
Fraser Mittlestead,Puccini's Deli,PUCC01,Vancouver NS,TRSM Delivery - Ground,2023-01-03,354896.0,1362784.0,58122148,TRSM,Charcuterie,~2 Lbs,4.0,Each,4.0,7.66,18.5,Pound,141.71,97.282,129.7604,0.3135135135135136,Charcuterie Sour Tuscan Salami Fresh TRSM,58122148 - Charcuterie Sour Tuscan Salami Fresh TRSM
Fraser Mittlestead,Puccini's Deli,PUCC01,Vancouver NS,TRSM Delivery - Ground,2023-01-03,354896.0,1362786.0,58122299,TRSM,Charcuterie,"2.65lb/cs, 150g/pk, 1pc/pk, 8pk/cs",1.0,Case,1.0,2.96,57.55,Each,57.55,35.65,57.55,0.3805386620330148,"Charcuterie Salami, Milano Fresh TRSM (Retail Case)","58122299 - Charcuterie Salami, Milano Fresh TRSM (Retail Case)"
Fraser Mittlestead,Puccini's Deli,PUCC01,Vancouver NS,TRSM Delivery - Ground,2023-01-03,354896.0,1362789.0,58122140,TRSM,Charcuterie,"~1.4-1.6lbs, 14 pc/pck",2.0,Pack,2.0,2.95,14.0,Pound,41.3,28.9985,41.3,0.2978571428571428,"Charcuterie Spicy Pork Pepperoni, Cold Smoked Fresh TRSM","58122140 - Charcuterie Spicy Pork Pepperoni, Cold Smoked Fresh TRSM"
Fraser Mittlestead,Puccini's Deli,PUCC01,Vancouver NS,TRSM Delivery - Ground,2023-01-03,354896.0,1362790.0,58122120,TRSM,Charcuterie,~.5 Lbs,8.0,Each,8.0,4.13,26.0,Pound,107.38,77.0245,102.7957,0.28269230769230763,"Charcuterie Duck Prosciutto, Cold Smoked Fresh TRSM","58122120 - Charcuterie Duck Prosciutto, Cold Smoked Fresh TRSM"
Fraser Mittlestead,Puccini's Deli,PUCC01,Vancouver NS,TRSM Delivery - Ground,2023-01-03,354896.0,1362791.0,58122295,TRSM,Charcuterie,~2lb/pc,1.0,Pack,1.0,1.97,18.5,Pound,36.445,26.6541,35.5388,0.2686486486486487,Charcuterie Triple Fennel & Ale Salami Fresh TRSM,58122295 - Charcuterie Triple Fennel & Ale Salami Fresh TRSM
Fraser Mittlestead,Puccini's Deli,PUCC01,Vancouver NS,TRSM Delivery - Ground,2023-01-03,354896.0,1362793.0,58122135,TRSM,Charcuterie,~1lb,6.0,Each,6.0,6.36,28.85,Pound,183.486,132.606,177.0624,0.2772963604852686,Charcuterie Beef Bresaola Fresh TRSM,58122135 - Charcuterie Beef Bresaola Fresh TRSM
Jesse Croy,Le Marche,LEMA01,Int Kamloops,Clark - Ground,2023-01-04,354922.0,1362547.0,58122213,TRSM,Charcuterie,"~1.4-1.6lbs, 14 pc/pck",1.0,Pack,1.0,1.55,16.5,Pound,25.575,18.538,24.8,0.27515151515151515,Charcuterie Fennel Sticks Cold Smoked Fresh TRSM,58122213 - Charcuterie Fennel Sticks Cold Smoked Fresh TRSM
Jesse Croy,Le Marche,LEMA01,Int Kamloops,Clark - Ground,2023-01-04,354922.0,1362548.0,58122140,TRSM,Charcuterie,"~1.4-1.6lbs, 14 pc/pck",1.0,Pack,1.0,1.47,14.0,Pound,20.58,14.4501,20.58,0.29785714285714276,"Charcuterie Spicy Pork Pepperoni, Cold Smoked Fresh TRSM","58122140 - Charcuterie Spicy Pork Pepperoni, Cold Smoked Fresh TRSM"
Jesse Croy,Le Marche,LEMA01,Int Kamloops,Clark - Ground,2023-01-04,354922.0,1362549.0,58122287,TRSM,Charcuterie,~0.6 -0.8 Lbs pk/ 8pc,1.0,Pack,1.0,0.88,24.25,Pound,21.34,15.9808,21.34,0.25113402061855666,Charcuterie Beef & Bison Pepper Sticks Cold Smoked Fresh TRSM,58122287 - Charcuterie Beef & Bison Pepper Sticks Cold Smoked Fresh TRSM
Jesse Croy,Le Marche,LEMA01,Int Kamloops,Clark - Ground,2023-01-04,354922.0,1362555.0,58122301,TRSM,Charcuterie,"2.65lb/cs, 150g/pk, 1pc/pk, 8pk/cs",1.0,Case,1.0,3.02,57.55,Each,57.55,30.27,57.55,0.4740225890529974,"Charcuterie Salami, Tuscan Fresh TRSM (Retail Case)","58122301 - Charcuterie Salami, Tuscan Fresh TRSM (Retail Case)"
Jesse Croy,Le Marche,LEMA01,Int Kamloops,Clark - Ground,2023-01-04,354922.0,1362556.0,58122299,TRSM,Charcuterie,"2.65lb/cs, 150g/pk, 1pc/pk, 8pk/cs",1.0,Case,1.0,3.1,57.55,Each,57.55,35.65,57.55,0.3805386620330148,"Charcuterie Salami, Milano Fresh TRSM (Retail Case)","58122299 - Charcuterie Salami, Milano Fresh TRSM (Retail Case)"
Jesse Croy,Le Marche,LEMA01,Int Kamloops,Clark - Ground,2023-01-04,354922.0,1362557.0,58122302,TRSM,Charcuterie,"2.65lb/cs, 150g/pk, 1pc/pk, 8pk/cs",1.0,Case,1.0,3.04,57.55,Each,57.55,30.46,57.55,0.47072111207645523,"Charcuterie Salami, Chorizo, Cold Smoked Fresh TRSM (Retail Case)","58122302 - Charcuterie Salami, Chorizo, Cold Smoked Fresh TRSM (Retail Case)"
